1,ntu,28 . Vex Dckta~Foks Mz Nzamukxtr-krde Pawa Skul ,		ve -=x		mz	nz- a- mu kx tr -kr -=de	Pawa	skul	,	.	ve -=x		mz	nz- a- mu kx tr -kr -=de	Pawa	skul	,	.	accompany -=1MINᵢ		PREP	NMLZ CAUS eat SUBR holy NMLZ.POSS -=3MINᵢᵢ	Pawa.school	be.schooled	,28. I accompany Doctor Fox When he Celebrates Holy Communion at Pawa School ,~~~,ML ID,No comment,SGM 28,	punct	V Nom1		PREP	V>N V:Any V SUBR V V>N A-D-P2	N	V	,~~~ punct ~~~ ~~~ PREP ~~~ ~~~ V ,		~~~ ~~~		~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	
3.1,ntu,Xlrbo kqlepele ninge . ,xlr -bo	kqle -=pe -=le	ni- -=nge		,xlr -bo	kqle -=pe -=le	ni- -=nge	.	,hear .BZ(DIR).=O(1MIN).=>..BO	call.someone -=INCH* -=3MINᵢ	ACC -=1MINᵢᵢ	.	,"I heard him, he called me. ",~~~,ML ID,No comment,SGM 06,V V:Any	V V Nom1	Attachestoanycategory A-D-P2	punct	,~~~ ~~~ Pers pro punct ,~~~ ~~~	~~~ ~~~ ~~~	~~~ ~~~		
3.2,ntu,"Vzbo sc tqrpipemle bange kx , “ Neke ryzkr tabao mrlc ?” ",vz -bo	sc-	tq- r- pi -=pe -mq -=le	ba -=nge	kx			neke	r- yzkr	tabao	mrlc		,"vz -bo	sc-	tq- r- pi -=pe -mq -=le	ba -=nge	kx	,	“	neke	r- yzkr	tabao	mrlc	?”	","go .BZ(DIR).=O(1MIN).=>..BO	PFV	RL DETR say -=INCH* PDIR.HITHER -=3MINᵢ	DAT -=1MINᵢᵢ	SUBR	,	“	who	DETR peel	papaya	there	?”	","I went to him and he said to me, ""Who peeled papaya there?""",~~~,ML ID,No comment,SGM 06,V V:Any	V:(Procliticaspect)	V:(MOOD) V:(DETR) V V V:(PDIR) Nom1	A-D-P2 A-D-P2	SUBR	punct	punct	interrog	V:(DETR) V	N	Adv	punct	,~~~ ~~~ ~~~ A-D-P2 Particle punct punct interrog ~~~ N Adv punct ,~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~	~~~ ~~~	~~~			~~~	~~~ ~~~	~~~	~~~		
3.3,ntu,"Rpibo bade kx , “ Nigr mz Lrlvz .” ",r- pi -bo	ba -=de	kx			nigr	mz	Lrlvz		,"r- pi -bo	ba -=de	kx	,	“	nigr	mz	Lrlvz	.”	","DETR say .BZ(DIR).=O(1MIN).=>..BO	DAT -=3MINᵢᵢ	SUBR	,	“	ACC.1augᵢᵢ	PREP	Lrlvz	.”	","I said to him, ""Me and Lrlvz.""",~~~,ML ID,No comment,SGM 06,V:(DETR) V V:Any	A-D-P2 A-D-P2	SUBR	punct	punct	A-D-P2	PREP	PN	punct	,~~~ A-D-P2 Particle punct punct Pers pro PREP PN punct ,~~~ ~~~ ~~~	~~~ ~~~	~~~			~~~	~~~	~~~		
3.4,ntu,"X vea-mcpq bange , “ Trdwatrwamu mz naonrx lc ?” ",x	vea mou -mq	ba -=nge			tr- dwa -tr -=amu -u	mz	naonrx	lc		,"x	vea mou -mq	ba -=nge	,	“	tr- dwa -tr -=amu -u	mz	naonrx	lc	?”	","CONJ1	ask again PDIR.HITHER	DAT -=1MINᵢᵢ	,	“	NEG go GDIR.IN -=2AUGᵢ NEG	PREP	doorway	DEM2	?”	","And he questioned me further, ""You didn't go inside that doorway, did you?"" ",~~~,ML ID,No comment,SGM 06,CONJ	V Adv V:(PDIR)	A-D-P2 A-D-P2	punct	punct	V:(NEG>) V V:(GDIR) Nom1 V:(<NEG)	PREP	Ncomp	Det	punct	,CONJ ~~~ A-D-P2 punct punct ~~~ PREP N comp Det punct ,~~~	~~~ ~~~ ~~~	~~~ ~~~			~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~		
3.5,ntu,"Rpi-moupo bade kx , “ Dwatrkr elr , x kx mctrkr kc da kcng tzlztitr mz da kc tqtu tqwxbuo-ngrm ncblo kc prki , sc tqamzblqtxpxpemc da kc tqapule bia .” ",r- pi mou po	ba -=de	kx			dwa -tr -=kr	elr		x	kx	mc -tr -=kr	kc	da	kcng	tz- lz -ti -=tr	mz	da	kc	tq- tu	tq- wxbu -o -ngr -mq	ncblo	kc	prki		sc-	tq- a- mzblq -tx -px -=pe -mq -=x	da	kc	tq- apu -=le	bia		,"r- pi mou po	ba -=de	kx	,	“	dwa -tr -=kr	elr	,	x	kx	mc -tr -=kr	kc	da	kcng	tz- lz -ti -=dr	mz	da	kc	tq- tu	tq- wxbu -o -ngr -mq	ncblo	kc	prki	,	sc-	tq- a- mzblq -tx -px -=pe -mq -=x	da	kc	tq- apu -=le	bia	.”	","DETR say again move	DAT -=3MINᵢᵢ	SUBR	,	“	go GDIR.IN -=1AUGᵢ	there	,	CONJ1	SUBR	see GDIR.IN -=1AUGᵢ	which	thing	those	PASS carve TRNS -=3AUGᵢᵢ	PREP	thing	which	RL stand	RL sit GDIR.DOWN APP PDIR.HITHER	man	which	white	,	PFV	RL CAUS break.off INTS;.VERY GDIR.OUT -=INCH* PDIR.HITHER -=1MINᵢ	thing	which	RL be.like -=3MINᵢ	breadfruit	.”	","I answered him, ""We went inside and when we saw the carved things with that which stands, with the white man sitting on it, I dented (bumped?) something like a breadfruit. ",~~~,ML ID,No comment,SGM 06,V:(DETR) V Adv V	A-D-P2 A-D-P2	SUBR	punct	punct	V V:(GDIR) Nom1	Adv	punct	CONJ	SUBR	V V:(GDIR) Nom1	RPRN	N	RPRN	<NotSure> V V:Any A-D-P2	PREP	N	RPRN	V:(MOOD) vi	V:(MOOD) V V:(GDIR) V:(APP) V:(PDIR)	N	RPRN	V	punct	V:(Procliticaspect)	V:(MOOD) V:Any V V:(INTNS) V:(GDIR) V V:(PDIR) Nom1	N	RPRN	V:(MOOD) ~~~ Nom1	N	punct	,~~~ A-D-P2 Particle punct punct ~~~ Adv punct CONJ Particle ~~~ RPRN N pro ~~~ PREP N RPRN vi  V N RPRN V punct ~~~ ~~~ N RPRN Nom1 N punct ,~~~ ~~~ ~~~ ~~~	~~~ ~~~	~~~			~~~ ~~~ ~~~	~~~		~~~	~~~	~~~ ~~~ ~~~	~~~	~~~	~~~	~~~ ~~~ ~~~ +fr. var. of	~~~	~~~	~~~	~~~ ~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~		~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~ ~~~ ~~~	~~~		
3.6,ntu,"Kx xlrmle nzamzblqpx-krmc bia kc , sc tqotipele kc nzla nounc kx naikla-ngrde ninge . ",kx	xlr -mq -=le	nz- a- mzblq -px -kr -mq -=x	bia	kc		sc-	tq- oti -=pe -=le	kc	nrla	nounc	kx	na- ikla -ngr -=de	ni- -=nge		,"kx	xlr -mq -=le	nz- a- mzblq -px -kr -mq -=x	bia	kc	,	sc-	tq- oti -=pe -=le	kc	nrla	nounc	kx	na- ikla -ngr -=de	ni- -=nge	.	","SUBR	hear PDIR.HITHER -=3MINᵢ	NMLZ CAUS break.off GDIR.OUT NMLZ.POSS PDIR.HITHER -=1MINᵢ	breadfruit	which	,	PFV	RL get -=INCH* -=3MINᵢ	which	branch	tree	SUBR	IRR whip APP -=3MINᵢᵢ	ACC -=1MINᵢᵢ	.	","When he heard about my denting the breadfruit, he got a tree branch for him to whip me. ",~~~,ML ID,No comment,SGM 06,SUBR	V V:(PDIR) Nom1	V>N V:Any V V:(GDIR) V>N V:(PDIR) Nom1	N	RPRN	punct	V:(Procliticaspect)	V:(MOOD) V V Nom1	RPRN	N	N	SUBR	V:(MOOD) V V:(APP) A-D-P2	Attachestoanycategory A-D-P2	punct	,Particle ~~~ ~~~ N RPRN punct ~~~ ~~~ RPRN N N Particle ~~~ Pers pro punct ,~~~	~~~ ~~~ ~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~		~~~	~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~	~~~ ~~~		
3.7,ntu,"Kx mcpo nztwz-krmle nzla nounc kc , ninge kc tqyrnipex x tqrpipebo bade kx , “ Trte , dwatrkr mz naonrx kc murde trpipe'u bagr kx naonrx kc nzapxngr nzdwatr-krgr elr .” ",kx	mc -mq -=x	nz- twz -kr -mq -=le	nrla	nounc	kc		ni- -=nge	kc	tq- yrni -=pe -=x	x	tq- r- pi -=pe -bo	ba -=de	kx			trte		dwa -tr -=kr	mz	naonrx	kc	murde	tr- pi -mq -=q -u	bagr	kx	naonrx	kc	nz- apx -ngr	nz- dwa -tr -kr -=gr	elr		,"kx	mc -mq -=x	nz- twz -kr -mq -=le	nrla	nounc	kc	,	ni- -=nge	kc	tq- yrni -=pe -=x	x	tq- r- pi -=pe -bo	ba -=de	kx	,	“	trte	,	dwa -tr -=kr	mz	naonrx	kc	murde	tr- pi -mq -=q -u	bagr	kx	naonrx	kc	nz- apx -ngr	nz- dwa -tr -kr -=gr	elr	.”	","SUBR	see PDIR.HITHER -=1MINᵢ	NMLZ take NMLZ.POSS PDIR.HITHER -=3MINᵢ	branch	tree	which	,	ACC -=1MINᵢᵢ	which	RL cry -=INCH* -=1MINᵢ	CONJ1	RL DETR say -=INCH* .BZ(DIR).=O(1MIN).=>..BO	DAT -=3MINᵢᵢ	SUBR	,	“	father	,	go GDIR.IN -=1AUGᵢ	PREP	doorway	which	because	NEG say PDIR.HITHER -=2MINᵢ NEG	DAT.1augᵢᵢ	SUBR	doorway	which	PASS restrict APP	NMLZ go GDIR.IN NMLZ.POSS -=1AUGᵢᵢ	there	.”	","When I saw him bringing the tree branch I cried and I said to him, ""Daddy, we went into the doorway because you didn't tell us the doorway was forbidden to enter therein. ",~~~,ML ID,No comment,SGM 06,SUBR	V V:(PDIR) Nom1	V>N V V>N V:(PDIR) Nom1	N	N	RPRN	punct	Attachestoanycategory A-D-P2	RPRN	V:(MOOD) V V Nom1	CONJ	V:(MOOD) V:(DETR) V V V:Any	A-D-P2 A-D-P2	SUBR	punct	punct	N	punct	V V:(GDIR) Nom1	PREP	Ncomp	RPRN	CONJ	V:(NEG>) V V:(PDIR) Nom1 V:(<NEG)	A-D-P2	SUBR	Ncomp	RPRN	V:Any vt V:(APP)	V>N V V:(GDIR) V>N A-D-P2	Adv	punct	,Particle ~~~ ~~~ N N RPRN punct Pers pro RPRN ~~~ CONJ ~~~ A-D-P2 Particle punct punct N punct ~~~ PREP N comp RPRN CONJ ~~~ A-D-P2 Particle N comp RPRN vt  ~~~ Adv punct ,~~~	~~~ ~~~ ~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~		~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~ ~~~	~~~			~~~		~~~ ~~~ ~~~	~~~	~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~	~~~	~~~ ~~~ ~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~		
3.8,ntu,"Kx xlrmle natq kc tqpibo bade sc tqrtctxpe-ngrde nzla nounc kc tqmalele , x sc tqvzpem bange tqamzlrpipele ninge . ",kx	xlr -mq -=le	natq	kc	tq- pi -bo	ba -=de	sc-	tq- rtc -tx -=pe -ngr -=de	nrla	nounc	kc	tq- male -=le		x	sc-	tq- vz -=pe -mq	ba -=nge	tq- lrpi -=pe -=le	ni- -=nge		,"kx	xlr -mq -=le	natq	kc	tq- pi -bo	ba -=de	sc-	tq- rtc -tx -=pe -ngr -=de	nrla	nounc	kc	tq- male -=le	,	x	sc-	tq- vz -=pe -mq	ba -=nge	tq- lrpi -=pe -=le	ni- -=nge	.	","SUBR	hear PDIR.HITHER -=3MINᵢ	word	which	RL say .BZ(DIR).=O(1MIN).=>..BO	DAT -=3MINᵢᵢ	PFV	RL throw INTS;.VERY -=INCH* APP -=3MINᵢᵢ	branch	tree	which	RL hold -=3MINᵢ	,	CONJ1	PFV	RL go -=INCH* PDIR.HITHER	DAT -=1MINᵢᵢ	RL quietly -=INCH* -=3MINᵢ	ACC -=1MINᵢᵢ	.	","When he heard the words I said to him he threw away the tree branch he held, and he gently ___ed me. ",~~~,ML ID,No comment,SGM 06,SUBR	V V:(PDIR) Nom1	N	RPRN	V:(MOOD) V V:Any	A-D-P2 A-D-P2	V:(Procliticaspect)	V:(MOOD) V V:(INTNS) V V:(APP) A-D-P2	N	N	RPRN	V:(MOOD) V Nom1	punct	CONJ	V:(Procliticaspect)	V:(MOOD) V V V:(PDIR)	A-D-P2 A-D-P2	V:(MOOD) <NotSure> V Nom1	Attachestoanycategory A-D-P2	punct	,Particle ~~~ N RPRN ~~~ A-D-P2 ~~~ ~~~ N N RPRN ~~~ punct CONJ ~~~ V A-D-P2 ~~~ Pers pro punct ,~~~	~~~ ~~~ ~~~	~~~	~~~	~~~ ~~~ ~~~	~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~	~~~ ~~~ ~~~		~~~	~~~	~~~ ~~~ ~~~ ~~~	~~~ ~~~	~~~ ~~~ ~~~ ~~~	~~~ ~~~		
4.1,ntu,Mz nibr nzmzlrpi-krnge trtenge sc tqdwatrpe mz rum kc tqwxbupx-ngrm mgngr Ncbr . ,mz	nibr	nz- lrpi -kr -=nge	trte -=nge	sc-	tq- dwa -tr -=pe	mz		kc	tq- wxbu -px -ngr -mq	mqngr	ncbr		,mz	nibr	nz- lrpi -kr -=nge	trte -=nge	sc-	tq- dwa -tr -=pe	mz		kc	tq- wxbu -px -ngr -mq	mqngr	ncbr	.	,PREP	back.part	NMLZ quietly NMLZ.POSS -=1MINᵢᵢ	father -=1MINᵢᵢ	PFV	RL go GDIR.IN -=INCH*	PREP		which	RL sit GDIR.OUT APP PDIR.HITHER	image	cross	.	,After my ___ing my father he entered the room where the image of the cross sat. ,~~~,ML ID,No comment,SGM 06,PREP	N	V>N <NotSure> V>N A-D-P2	N A-D-P2	V:(Procliticaspect)	V:(MOOD) V V:(GDIR) V	PREP		RPRN	V:(MOOD) V V:(GDIR) V:(APP) V:(PDIR)	N	N	punct	,PREP N ~~~ ~~~ ~~~ ~~~ PREP ~~~ RPRN ~~~ N N punct ,~~~	~~~	~~~ ~~~ ~~~ ~~~	~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~	~~~		~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~		
4.2,ntu,"Kx oblvztile rum kc x mcte da kx aletikrng , drtwrde vztx murde trnzpi-krpleu bagr nzrpw'a-krde nzdwatr-krgr mz rum nyz mqngr Ncbr . ",kx	obq -lvz -ti -=le		kc	x	mc -=te	da	kx	ale -ti -=kr -ngq		drtwr -=de	vz -tx	murde	tr- nz- -kr -mq -=le -u	bagr	nz- rpwa' -kr -=de	nz- dwa -tr -kr -=gr	mz		nyz	mqngr	ncbr		,"kx	obq -lvz -ti -=le		kc	x	mc -=te	da	kx	ale -ti -=kr -ngq	,	drtwr -=de	drtwr vz -tx	murde	tr- nz- -kr -mq -=le -u	bagr	nz- rpwa' -kr -=de	nz- dwa -tr -kr -=gr	mz		nyz	mqngr	ncbr	.	","SUBR	look UDIR.TOWARD TRNS -=3MINᵢ		which	CONJ1	see -=3MINᵢᵢ	thing	SUBR	do TRNS -=1AUGᵢ PL	,	neck -=3MINᵢᵢ	feel.sad INTS;.VERY	because	NEG NMLZ NMLZ.POSS PDIR.HITHER -=3MINᵢ NEG	DAT.1augᵢᵢ	NMLZ forbid NMLZ.POSS -=3MINᵢᵢ	NMLZ go GDIR.IN NMLZ.POSS -=1AUGᵢᵢ	PREP		PCLF8	image	cross	.	","When he looked over the room and saw what we had done, he was very sad because of his not telling about his forbidding our entering the room belonging to the image of the cross. ",~~~,ML ID,No comment,SGM 06,SUBR	V V:(UDIR) V:Any Nom1		RPRN	CONJ	V N	N	SUBR	V V:Any Nom1 DEM:Any	punct	N A-D-P2	Phrase V:(INTNS)	CONJ	V:(NEG>) V>N V>N V:(PDIR) Nom1 V:(<NEG)	A-D-P2	V>N V V>N A-D-P2	V>N V V:(GDIR) V>N A-D-P2	PREP		PCLF	N	N	punct	,Particle ~~~ ~~~ RPRN CONJ ~~~ N Particle ~~~ punct ~~~ ~~~ CONJ ~~~ A-D-P2 ~~~ ~~~ PREP ~~~ PCLF N N punct ,~~~	~~~ ~~~ ~~~ ~~~		~~~	~~~	~~~ ~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~		~~~ ~~~	~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~		~~~	~~~	~~~		
5.1,ntu,"Zbz sc tqvzpebz mz Menabz , trte Lrlvz , kc tqvzne-zvzkr ncdr . ",zbz	sc-	tq- vz -=pe -bz -=	mz	Menabz		trte	Lrlvz		kc	tq- vz -ne zvz -=kr	ncdr		,"zbz	sc-	tq- vz -=pe -bz -=Ø	mz	Menabz	,	trte	Lrlvz	,	kc	tq- vz -ne zvz -=kr	ncdr	.	","so.then	PFV	RL go -=INCH* PDIR.THITHER -=3MINᵢ	PREP	Menabz	,	father	Lrlvz	,	which	RL go DISTR HAB -=1AUGᵢ	with	.	","Then he went to Menabz, the father of Lrlvz, who I always ran around with. ",~~~,ML ID,No comment,SGM 06,CONJ	V:(Procliticaspect)	V:(MOOD) V V V:(PDIR) Nom1	PREP	PN	punct	N	PN	punct	RPRN	V:(MOOD) V V:(Any/every(which).way) Adv Nom1	PREP	punct	,~~~ ~~~ ~~~ PREP PN punct N PN punct RPRN ~~~ PREP punct ,~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~		~~~	~~~		~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~		
5.2,ntu,"Kx pibzle kc nzdwatr-mou-krgr mrkc tqtupx-ngrm mgngr Ncbr , x kxmu nzamzblqpx-krmc bia kc tzlztr mz dapunc kc tqwxbuo-ngrm Ncbr . ",kx	pi -bz -=le	kc	nz- dwa -tr mou -kr -=gr	mrkc	tq- tu -px -ngr -mq	mqngr	ncbr		x	kxmu	nz- a- mzblq -px -kr -mq -=x	bia	kc	tz- lz -tr	mz	dapu.nc	kc	tq- wxbu -o -ngr -mq	ncbr		,"kx	pi -bz -=le	kc	nz- dwa -tr mou -kr -=gr	mrkc	tq- tu -px -ngr -mq	mqngr	ncbr	,	x	kxmu	nz- a- mzblq -px -kr -mq -=x	bia	kc	tz- lz -tr	mz	dapu nc	kc	tq- wxbu -o -ngr -mq	ncbr	.	","SUBR	say PDIR.THITHER -=3MINᵢ	which	NMLZ go GDIR.IN again NMLZ.POSS -=1AUGᵢᵢ	there	RL stand GDIR.OUT APP PDIR.HITHER	spirit	cross	,	CONJ1	be.like	NMLZ CAUS break.off GDIR.OUT NMLZ.POSS PDIR.HITHER -=1MINᵢ	breadfruit	which	RL+3AUG carve GDIR.IN	PREP	piece.of.wood	which	RL sit GDIR.DOWN APP PDIR.HITHER	cross	.	","When he told him about our entering where the image of the cross stook and about my dentiing the breadfruit carved from wood which the cross sat on, ",~~~,ML ID,No comment,SGM 06,SUBR	V V:(PDIR) Nom1	RPRN	V>N V V:(GDIR) Adv V>N A-D-P2	Adv	V:(MOOD) vi V:(GDIR) V:(APP) V:(PDIR)	N	N	punct	CONJ	V	V>N V:Any V V:(GDIR) V>N V:(PDIR) Nom1	N	RPRN	V:(MOOD) V V:(GDIR)	PREP	Ncomp	RPRN	V:(MOOD) V V:(GDIR) V:(APP) V:(PDIR)	N	punct	,Particle ~~~ RPRN ~~~ Adv vi  ~~~ N punct CONJ V ~~~ N RPRN ~~~ PREP N comp RPRN V N punct ,~~~	~~~ ~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~		~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~ ~~~ ~~~	~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~		
5.3,ntu,"Kctitxpx Menabz , murde nzwrde krali lcpe nzdwatr-krgr me nzatupx-ngrm mqngr da kx nzangio . ",kcti -tx -px	Menabz		murde	nzwr -=de	kra- li	lc -=pe	nz- dwa -tr -kr -=gr	me	nz- a- tu -px -ngr -mq	mqngr	da	kx	nz- angio		,"kcti -tx -px	Menabz	,	murde	nzwr -=de	kra- li	lc -=pe	nz- dwa -tr -kr -=gr	me	nz- a- tu -px -ngr -mq	mqngr	da	kx	nz- angio	.	","marvel INTS;.VERY GDIR.OUT	Menabz	,	because	time -=3MINᵢᵢ	ORD two	DEM2 -=INCH*	NMLZ go GDIR.IN NMLZ.POSS -=1AUGᵢᵢ	place	NMLZ CAUS stand GDIR.OUT APP PDIR.HITHER	image	thing	SUBR	PASS worship	.	","Menabz was surprised, because that was the second time of our entering a place where imaged that were worshipped were standing. ",~~~,ML ID,No comment,SGM 06,V V:(INTNS) V:(GDIR)	PN	punct	CONJ	N A-D-P2	NUM:(ORD) NUM	Det V	V>N V V:(GDIR) V>N A-D-P2	<NotSure>	V>N V:Any vi V:(GDIR) V:(APP) V:(PDIR)	N	N	SUBR	V:Any V	punct	,~~~ PN punct CONJ N Ord ~~~ ~~~ V ~~~ N N Particle V punct ,~~~ ~~~ ~~~	~~~		~~~	~~~ ~~~	~~~ ~~~	~~~ ~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~	~~~ ~~~		
6.1,ntu,"Mrlz , sc tzpipelr rlilrdr kxnamu na-amrlztr-ngrbzlr drtwr Ncbr . ",mrlz		sc-	tz- pi -=pe -=lr	rlilrdr	kx na- mu	na- a- mrlz -tr -ngr -bz -=lr	drtwr	ncbr		,"mrlz	,	sc-	tz- pi -=pe -=lr	rlilrdr	kx na- mu	na- a- mrlz -tr -ngr -bz -=lr	drtwr	ncbr	.	","be.good	,	PFV	RL+3AUG say -=INCH* -=3AUGᵢ	both.of.them	SUBR IRR be.like	IRR CAUS be.good GDIR.IN APP PDIR.THITHER -=3AUGᵢ	mind	cross	.	","OK, then the two of them thought how they might make things right with the cross. ",~~~,ML ID,No comment,SGM 06,V	punct	V:(Procliticaspect)	V:(MOOD) V V Nom1	<NotSure>	SUBR V:(MOOD) V	V:(MOOD) V:Any V V:(GDIR) V:(APP) V:(PDIR) Nom1	N	N	punct	,V punct ~~~ ~~~ ~~~ SUBR ~~~ N N punct ,~~~		~~~	~~~ ~~~ ~~~ ~~~	~~~	~~~ ~~~ ~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~		
6.2,ntu,Murde da kxtrka kc tqalex mz nzkqblqpx-krmc bia kc . ,murde	da	kx trka	kc	tq- ale -=x	mz	nz- -px -kr -mq -=x	bia	kc		,murde	da	kx trka	kc	tq- ale -=x	mz	nz- -px -kr -mq -=x	bia	kc	.	,because	thing	SUBR bad	which	RL do -=1MINᵢ	PREP	NMLZ GDIR.OUT NMLZ.POSS PDIR.HITHER -=1MINᵢ	breadfruit	which	.	,Because of the bad things I did in my denting the breadfruit. ,~~~,ML ID,No comment,SGM 06,CONJ	N	SUBR V	RPRN	V:(MOOD) V Nom1	PREP	V>N V:(GDIR) V>N V:(PDIR) Nom1	N	RPRN	punct	,CONJ N N.(kx.cl) RPRN ~~~ PREP ~~~ N RPRN punct ,~~~	~~~	~~~ ~~~	~~~	~~~ ~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~		
1,ntu,7 . Nrzkakrbz Trtenge Blz Mz Ncbr X Nzkrka'krbzle Nigr Mz Lrlvz Bade ,		nz- r- ka -kr -bz	trte -=nge	blz	mz	ncbr	x	nz- krka' -kr -bz -=le	nigr	mz	Lrlvz	bade	,	.	nz- r- ka -kr -bz	trte -=nge	blz	mz	ncbr	x	nz- krka' -kr -bz -=le	nigr	mz	Lrlvz	bade	,	.	NMLZ DETR give NMLZ.POSS PDIR.THITHER	father -=1MINᵢᵢ	sacrifice	PREP	cross	CONJ1	NMLZ pray NMLZ.POSS PDIR.THITHER -=3MINᵢ	ACC.1augᵢᵢ	PREP	Lrlvz	DAT.3minᵢᵢ	,7. My Father's Giving a Sacrifice to the Cross and His Praying to Him for Me and Lrlvz ,~~~,ML ID,No comment,SGM 07,	punct	V>N V:(DETR) V V>N V:(PDIR)	N A-D-P2	N	PREP	N	CONJ	V>N V V>N V:(PDIR) Nom1	A-D-P2	PREP	PN	A-D-P2	,~~~ punct ~~~ N N PREP N CONJ ~~~ Pers pro PREP PN A-D-P2 ,		~~~ ~~~ ~~~ ~~~ ~~~	~~~ ~~~	~~~	~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~	~~~	
2.1,ntu,Kzdq zbq trtenge x Menabz nzabzlr bona kx ncblongr li . ,kzdq	zbq	trte -=nge	x	Menabz	nz- a- bz -=lr	bona	kx	ncblo -ngr	li		,kzdq	zbq	trte -=nge	x	Menabz	nz- a- bz -=lr	bona	kx	ncblo -ngr	li	.	,a	day	father -=1MINᵢᵢ	CONJ1	Menabz	3AUGᵢ CAUS die -=3AUGᵢ	bona.bird	SUBR	man DER	two	.	,One day my father and Menabz killed two male bona birds. ,~~~,ML ID,No comment,SGM 07,Det	N	N A-D-P2	CONJ	PN	V:Any V:Any V Nom1	N	SUBR	N N>V	NUM	punct	,Det N ~~~ CONJ PN ~~~ N Particle V NUM punct ,~~~	~~~	~~~ ~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~ ~~~	~~~		
2.2,ntu,Nzkapxmlr dabukr bona kcng li sc tzangcpebzlr mz Ncbr . ,nz- ka -px -mq -=lr	dabu ngr	bona	kcng	li	sc-	tz- a- ngc -=pe -bz -=lr	mz	ncbr		,nz- ka -px -mq -=lr	dabu ngr	bona	kcng	li	sc-	tz- a- ngc -=pe -bz -=lr	mz	ncbr	.	,NMLZ give GDIR.OUT PDIR.HITHER -=3AUGᵢ	heart GEN1A	bona.bird	those	two	PFV	RL+3AUG CAUS burn -=INCH* PDIR.THITHER -=3AUGᵢ	PREP	cross	.	,They removed the hearts of those two bona birds and burned them for the Cross. ,~~~,ML ID,No comment,SGM 07,V>N V V:(GDIR) V:(PDIR) Nom1	N GEN	N	RPRN	NUM	V:(Procliticaspect)	V:(MOOD) V:Any V V V:(PDIR) Nom1	PREP	N	punct	,~~~ ~~~ N pro NUM ~~~ ~~~ PREP N punct ,~~~ ~~~ ~~~ ~~~ ~~~	~~~ ~~~	~~~	~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~		
